t,x,y,z
2,4,2,-0.403643
2,4,3,-0.319641
2,4,4,-0.25312
2,4,5,-0.200443
2,4,6,-0.158729
2,4,7,-0.125696
2,4,8,-0.0995372
2,4,9,-0.0788225
2,5,0,-1.00001
2,5,1,-0.791894
2,5,2,-0.627093
2,5,3,-0.496588
2,5,4,-0.393243
2,5,5,-0.311405
2,5,6,-0.246598
2,5,7,-0.195279
2,5,8,-0.154639
2,5,9,-0.122457
2,6,0,-0.452081
2,6,1,-0.357998
2,6,2,-0.283495
2,6,3,-0.224497
2,6,4,-0.177777
2,6,5,-0.14078
2,6,6,-0.111482
2,6,7,-0.0882813
2,6,8,-0.0699091
2,6,9,-0.0553603
2,7,0,0.240238
2,7,1,0.190242
2,7,2,0.150651
2,7,3,0.119299
2,7,4,0.0944714
2,7,5,0.0748109
2,7,6,0.059242
2,7,7,0.0469131
2,7,8,0.03715
2,7,9,0.0294187
2,8,0,0.489072
2,8,1,0.387291
2,8,2,0.306691
2,8,3,0.242866
2,8,4,0.192323
2,8,5,0.152298
2,8,6,0.120604
2,8,7,0.0955047
2,8,8,0.0756292
2,8,9,0.05989
2,9,0,0.267857
2,9,1,0.212114
2,9,2,0.167971
2,9,3,0.133014
2,9,4,0.105332
2,9,5,0.0834117
2,9,6,0.0660528
2,9,7,0.0523066
2,9,8,0.041421
2,9,9,0.0328009
3,0,0,-2.46144
3,0,1,-1.94919
3,0,2,-1.54354
3,0,3,-1.22232
3,0,4,-0.967939
3,0,5,-0.766501
3,0,6,-0.606984
3,0,7,-0.480664
3,0,8,-0.380633
3,0,9,-0.301419
3,1,0,-0.546703
3,1,1,-0.432929
3,1,2,-0.342832
3,1,3,-0.271485
3,1,4,-0.214986
3,1,5,-0.170245
3,1,6,-0.134815
3,1,7,-0.106759
3,1,8,-0.0845413
3,1,9,-0.0669474
3,2,0,1.07572
3,2,1,0.85185
3,2,2,0.674571
3,2,3,0.534186
3,2,4,0.423016
3,2,5,0.334982
3,2,6,0.265269
3,2,7,0.210064
3,2,8,0.166347
3,2,9,0.131729
3,3,0,1.26334
3,3,1,1.00043
3,3,2,0.792229
3,3,3,0.627358
3,3,4,0.496798
3,3,5,0.39341
3,3,6,0.311537
3,3,7,0.246703
3,3,8,0.195361
3,3,9,0.154705
3,4,0,0.406498
3,4,1,0.321901
3,4,2,0.25491
3,4,3,0.201861
3,4,4,0.159851
3,4,5,0.126585
3,4,6,0.100241
3,4,7,0.0793799
3,4,8,0.0628601
3,4,9,0.0497782
3,5,0,-0.444382
3,5,1,-0.351901
3,5,2,-0.278667
3,5,3,-0.220673
3,5,4,-0.174749
3,5,5,-0.138382
3,5,6,-0.109583
3,5,7,-0.0867777
3,5,8,-0.0687184
3,5,9,-0.0544174
3,6,0,-0.635176
3,6,1,-0.502989
3,6,2,-0.398312
3,6,3,-0.315419
3,6,4,-0.249777
3,6,5,-0.197796
3,6,6,-0.156633
3,6,7,-0.124036
3,6,8,-0.0982225
3,6,9,-0.0777814
3,7,0,-0.264866
3,7,1,-0.209744
3,7,2,-0.166094
3,7,3,-0.131528
3,7,4,-0.104156
3,7,5,-0.0824801
3,7,6,-0.0653151
3,7,7,-0.0517224
3,7,8,-0.0409584
3,7,9,-0.0324345
3,8,0,0.171661
3,8,1,0.135937
3,8,2,0.107647
3,8,3,0.0852444
3,8,4,0.0675042
3,8,5,0.0534558
3,8,6,0.0423311
3,8,7,0.0335216
3,8,8,0.0265454
3,8,9,0.021021
3,9,0,0.312988
3,9,1,0.247852
3,9,2,0.196272
3,9,3,0.155425
3,9,4,0.12308
3,9,5,0.0974656
3,9,6,0.077182
3,9,7,0.0611196
3,9,8,0.0484
3,9,9,0.0383274
4,0,0,-1.64672
4,0,1,-1.30402
4,0,2,-1.03264
4,0,3,-0.817736
4,0,4,-0.647556
4,0,5,-0.512793
4,0,6,-0.406076
4,0,7,-0.321567
4,0,8,-0.254646
4,0,9,-0.201651
4,1,0,-1.53507
4,1,1,-1.2156
4,1,2,-0.962625
4,1,3,-0.762293
4,1,4,-0.603651
4,1,5,-0.478025
4,1,6,-0.378543
4,1,7,-0.299764
4,1,8,-0.23738
4,1,9,-0.187979
4,2,0,-0.28095
4,2,1,-0.222481
4,2,2,-0.17618
4,2,3,-0.139515
4,2,4,-0.110481
4,2,5,-0.0874886
4,2,6,-0.0692813
4,2,7,-0.0548632
4,2,8,-0.0434456
4,2,9,-0.0344041
4,3,0,0.722211
4,3,1,0.571911
4,3,2,0.45289
4,3,3,0.358639
4,3,4,0.284003
4,3,5,0.224899
4,3,6,0.178095
4,3,7,0.141032
4,3,8,0.111681
4,3,9,0.0884393
4,4,0,0.79419
4,4,1,0.628911
4,4,2,0.498028
4,4,3,0.394383
4,4,4,0.312308
4,4,5,0.247313
4,4,6,0.195845
4,4,7,0.155088
4,4,8,0.122812
4,4,9,0.0972537
4,5,0,0.226714
4,5,1,0.179532
4,5,2,0.14217
4,5,3,0.112583
4,5,4,0.089153
4,5,5,0.0705994
4,5,6,0.0559069
4,5,7,0.0442721
4,5,8,0.0350586
4,5,9,0.0277625
4,6,0,-0.304025
4,6,1,-0.240754
4,6,2,-0.190651
4,6,3,-0.150974
4,6,4,-0.119555
4,6,5,-0.0946743
4,6,6,-0.0749716
4,6,7,-0.0593692
4,6,8,-0.0470139
4,6,9,-0.0372298
4,7,0,-0.40233
4,7,1,-0.318601
4,7,2,-0.252296
4,7,3,-0.199791
4,7,4,-0.158212
4,7,5,-0.125287
4,7,6,-0.0992132
4,7,7,-0.0785659
4,7,8,-0.0622155
4,7,9,-0.0492678
4,8,0,-0.153631
4,8,1,-0.121659
4,8,2,-0.0963401
4,8,3,-0.0762907
4,8,4,-0.0604138
4,8,5,-0.0478411
4,8,6,-0.0378849
4,8,7,-0.0300006
4,8,8,-0.0237572
4,8,9,-0.0188131
4,9,0,0.120832
4,9,1,0.0956854
4,9,2,0.0757723
4,9,3,0.0600033
4,9,4,0.047516
4,9,5,0.0376274
4,9,6,0.0297967
4,9,7,0.0235957
4,9,8,0.0186852
4,9,9,0.0147966
5,0,0,0.040481
5,0,1,0.0320565
5,0,2,0.0253852
5,0,3,0.0201023
5,0,4,0.0159188
5,0,5,0.0126059
5,0,6,0.0099825
5,0,7,0.00790503
5,0,8,0.00625991
5,0,9,0.00495716
5,1,0,-1.08557
5,1,1,-0.859655
5,1,2,-0.680752
5,1,3,-0.539081
5,1,4,-0.426892
5,1,5,-0.338052
5,1,6,-0.267699
5,1,7,-0.211988
5,1,8,-0.167871
5,1,9,-0.132936
5,2,0,-0.954333
5,2,1,-0.755726
5,2,2,-0.598452
5,2,3,-0.473908
5,2,4,-0.375283
5,2,5,-0.297182
5,2,6,-0.235336
5,2,7,-0.18636
5,2,8,-0.147576
5,2,9,-0.116864
5,3,0,-0.135889
5,3,1,-0.107609
5,3,2,-0.0852145
5,3,3,-0.0674805
5,3,4,-0.0534371
5,3,5,-0.0423163
5,3,6,-0.0335098
5,3,7,-0.0265361
5,3,8,-0.0210136
5,3,9,-0.0166405
5,4,0,0.482169
5,4,1,0.381824
5,4,2,0.302363
5,4,3,0.239438
5,4,4,0.189608
5,4,5,0.150149
5,4,6,0.118901
5,4,7,0.0941567
5,4,8,0.0745617
5,4,9,0.0590447
5,5,0,0.497816
5,5,1,0.394215
5,5,2,0.312175
5,5,3,0.247208
5,5,4,0.195761
5,5,5,0.155021
5,5,6,0.12276
5,5,7,0.0972123
5,5,8,0.0769814
5,5,9,0.0609607
5,6,0,0.123628
5,6,1,0.0978996
5,6,2,0.0775257
5,6,3,0.0613918
5,6,4,0.0486155
