t,x,y,z
2,4,3,-0.479775
2,4,4,-0.464046
2,4,5,-0.448833
2,4,6,-0.434119
2,4,7,-0.419886
2,4,8,-0.406121
2,4,9,-0.392807
2,5,0,-1.5131
2,5,1,-1.46349
2,5,2,-1.41551
2,5,3,-1.36911
2,5,4,-1.32422
2,5,5,-1.28081
2,5,6,-1.23882
2,5,7,-1.19821
2,5,8,-1.15893
2,5,9,-1.12093
2,6,0,-2.14659
2,6,1,-2.07622
2,6,2,-2.00815
2,6,3,-1.94232
2,6,4,-1.87864
2,6,5,-1.81705
2,6,6,-1.75748
2,6,7,-1.69986
2,6,8,-1.64414
2,6,9,-1.59023
2,7,0,-2.33351
2,7,1,-2.25701
2,7,2,-2.18302
2,7,3,-2.11145
2,7,4,-2.04223
2,7,5,-1.97528
2,7,6,-1.91052
2,7,7,-1.84788
2,7,8,-1.7873
2,7,9,-1.72871
2,8,0,-2.06733
2,8,1,-1.99955
2,8,2,-1.934
2,8,3,-1.8706
2,8,4,-1.80927
2,8,5,-1.74996
2,8,6,-1.69259
2,8,7,-1.6371
2,8,8,-1.58343
2,8,9,-1.53152
2,9,0,-1.42758
2,9,1,-1.38078
2,9,2,-1.33551
2,9,3,-1.29173
2,9,4,-1.24938
2,9,5,-1.20842
2,9,6,-1.1688
2,9,7,-1.13048
2,9,8,-1.09342
2,9,9,-1.05758
3,0,0,1.06426
3,0,1,1.02937
3,0,2,0.995622
3,0,3,0.962981
3,0,4,0.931411
3,0,5,0.900876
3,0,6,0.871341
3,0,7,0.842775
3,0,8,0.815146
3,0,9,0.788422
3,1,0,0.929365
3,1,1,0.898897
3,1,2,0.869427
3,1,3,0.840924
3,1,4,0.813355
3,1,5,0.78669
3,1,6,0.7609
3,1,7,0.735954
3,1,8,0.711827
3,1,9,0.68849
3,2,0,0.627515
3,2,1,0.606943
3,2,2,0.587045
3,2,3,0.567799
3,2,4,0.549185
3,2,5,0.53118
3,2,6,0.513766
3,2,7,0.496923
3,2,8,0.480632
3,2,9,0.464875
3,3,0,0.226529
3,3,1,0.219103
3,3,2,0.21192
3,3,3,0.204972
3,3,4,0.198252
3,3,5,0.191753
3,3,6,0.185467
3,3,7,0.179386
3,3,8,0.173505
3,3,9,0.167817
3,4,0,-0.191411
3,4,1,-0.185136
3,4,2,-0.179067
3,4,3,-0.173196
3,4,4,-0.167518
3,4,5,-0.162026
3,4,6,-0.156714
3,4,7,-0.151577
3,4,8,-0.146607
3,4,9,-0.141801
3,5,0,-0.54622
3,5,1,-0.528313
3,5,2,-0.510992
3,5,3,-0.49424
3,5,4,-0.478037
3,5,5,-0.462365
3,5,6,-0.447207
3,5,7,-0.432546
3,5,8,-0.418365
3,5,9,-0.40465
3,6,0,-0.774907
3,6,1,-0.749503
3,6,2,-0.724931
3,6,3,-0.701165
3,6,4,-0.678178
3,6,5,-0.655945
3,6,6,-0.63444
3,6,7,-0.613641
3,6,8,-0.593523
3,6,9,-0.574065
3,7,0,-0.842384
3,7,1,-0.814767
3,7,2,-0.788056
3,7,3,-0.762221
3,7,4,-0.737232
3,7,5,-0.713063
3,7,6,-0.689686
3,7,7,-0.667075
3,7,8,-0.645206
3,7,9,-0.624053
3,8,0,-0.746294
3,8,1,-0.721827
3,8,2,-0.698163
3,8,3,-0.675275
3,8,4,-0.653136
3,8,5,-0.631724
3,8,6,-0.611014
3,8,7,-0.590982
3,8,8,-0.571608
3,8,9,-0.552868
3,9,0,-0.515347
3,9,1,-0.498452
3,9,2,-0.482111
3,9,3,-0.466305
3,9,4,-0.451018
3,9,5,-0.436232
3,9,6,-0.421931
3,9,7,-0.408098
3,9,8,-0.394719
3,9,9,-0.381779
4,0,0,-0.89927
4,0,1,-0.869788
4,0,2,-0.841273
4,0,3,-0.813693
4,0,4,-0.787017
4,0,5,-0.761216
4,0,6,-0.73626
4,0,7,-0.712123
4,0,8,-0.688776
4,0,9,-0.666196
4,1,0,-0.785288
4,1,1,-0.759543
4,1,2,-0.734643
4,1,3,-0.710558
4,1,4,-0.687263
4,1,5,-0.664732
4,1,6,-0.64294
4,1,7,-0.621862
4,1,8,-0.601474
4,1,9,-0.581756
4,2,0,-0.530234
4,2,1,-0.51285
4,2,2,-0.496037
4,2,3,-0.479775
4,2,4,-0.464046
4,2,5,-0.448833
4,2,6,-0.434119
4,2,7,-0.419886
4,2,8,-0.406121
4,2,9,-0.392807
4,3,0,-0.191411
4,3,1,-0.185136
4,3,2,-0.179067
4,3,3,-0.173196
4,3,4,-0.167518
4,3,5,-0.162026
4,3,6,-0.156714
4,3,7,-0.151577
4,3,8,-0.146607
4,3,9,-0.141801
4,4,0,0.161737
4,4,1,0.156435
4,4,2,0.151306
4,4,3,0.146346
4,4,4,0.141548
4,4,5,0.136908
4,4,6,0.132419
4,4,7,0.128078
4,4,8,0.123879
4,4,9,0.119818
4,5,0,0.461541
4,5,1,0.44641
4,5,2,0.431775
4,5,3,0.41762
4,5,4,0.403928
4,5,5,0.390686
4,5,6,0.377878
4,5,7,0.365489
4,5,8,0.353507
4,5,9,0.341918
4,6,0,0.654776
4,6,1,0.633309
4,6,2,0.612547
4,6,3,0.592465
4,6,4,0.573042
4,6,5,0.554256
4,6,6,0.536085
4,6,7,0.51851
4,6,8,0.501511
4,6,9,0.48507
4,7,0,0.711792
4,7,1,0.688456
4,7,2,0.665886
4,7,3,0.644056
4,7,4,0.622941
4,7,5,0.602519
4,7,6,0.582766
4,7,7,0.56366
4,7,8,0.545181
4,7,9,0.527308
4,8,0,0.630598
4,8,1,0.609925
4,8,2,0.589929
4,8,3,0.570589
4,8,4,0.551883
4,8,5,0.53379
4,8,6,0.51629
4,8,7,0.499364
4,8,8,0.482993
4,8,9,0.467159
4,9,0,0.435455
4,9,1,0.421179
4,9,2,0.407371
4,9,3,0.394016
4,9,4,0.381098
4,9,5,0.368604
4,9,6,0.35652
4,9,7,0.344832
4,9,8,0.333527
4,9,9,0.322593
5,0,0,-2.5662
5,0,1,-2.48207
5,0,2,-2.4007
5,0,3,-2.32199
5,0,4,-2.24587
5,0,5,-2.17224
5,0,6,-2.10103
5,0,7,-2.03215
5,0,8,-1.96552
5,0,9,-1.90109
5,1,0,-2.24093
5,1,1,-2.16747
5,1,2,-2.09641
5,1,3,-2.02768
5,1,4,-1.96121
5,1,5,-1.89691
5,1,6,-1.83472
5,1,7,-1.77457
5,1,8,-1.7164
5,1,9,-1.66012
5,2,0,-1.5131
5,2,1,-1.46349
5,2,2,-1.41551
5,2,3,-1.36911
5,2,4,-1.32422
5,2,5,-1.28081
5,2,6,-1.23882
5,2,7,-1.19821
5,2,8,-1.15893
5,2,9,-1.12093
5,3,0,-0.54622
5,3,1,-0.528313
5,3,2,-0.510992
5,3,3,-0.49424
5,3,4,-0.478037
5,3,5,-0.462365
5,3,6,-0.447207
5,3,7,-0.432546
5,3,8,-0.418365
5,3,9,-0.40465
5,4,0,0.461541
5,4,1,0.44641
5,4,2,0.431775
5,4,3,0.41762
5,4,4,0.403928
5,4,5,0.390686
5,4,6,0.377878
5,4,7,0.365489
5,4,8,0.353507
5,4,9,0.341918
5,5,0,1.31707
5,5,1,1.2739
5,5,2,1.23213
5,5,3,1.19174
5,5,4,1.15267
5,5,5,1.11488
5,5,6,1.07833
5,5,7,1.04298
5,5,8,1.00878
5,5,9,0.975713
5,6,0,1.8685
5,6,1,1.80724
5,6,2,1.74799
5,6,3,1.69069
5,6,4,1.63526
5,6,5,1.58165
5,6,6,1.5298
5,6,7,1.47964
5,6,8,1.43114
5,6,9,1.38422
5,7,0,2.0312
5,7,1,1.96461
5,7,2,1.9002
5,7,3,1.83791
5,7,4,1.77765
5,7,5,1.71937
5,7,6,1.66301
5,7,7,1.60849
5,7,8,1.55575
5,7,9,1.50475
5,8,0,1.7995
5,8,1,1.74051
5,8,2,1.68345
5,8,3,1.62826
5,8,4,1.57488
5,8,5,1.52325
5,8,6,1.47331
5,8,7,1.42501
5,8,8,1.37829
5,8,9,1.33311
5,9,0,1.24263
5,9,1,1.20189
5,9,2,1.16249
5,9,3,1.12438
5,9,4,1.08752
5,9,5,1.05187
5,9,6,1.01738
5,9,7,0.984028
5,9,8,0.951768
5,9,9,0.920565
6,0,0,-3.6406
6,0,1,-3.52124
6,0,2,-3.4058
6,0,3,-3.29415
6,0,4,-3.18615
6,0,5,-3.0817
6,0,6,-2.98067
6,0,7,-2.88295
6,0,8,-2.78843
6,0,9,-2.69702
6,1,0,-3.17915
6,1,1,-3.07493
6,1,2,-2.97412
6,1,3,-2.87662
6,1,4,-2.78231
6,1,5,-2.69109
6,1,6,-2.60287
6,1,7,-2.51754
6,1,8,-2.435
6,1,9,-2.35517
6,2,0,-2.14659
6,2,1,-2.07622
6,2,2,-2.00815
6,2,3,-1.94232
6,2,4,-1.87864
6,2,5,-1.81705
6,2,6,-1.75748
6,2,7,-1.69986
6,2,8,-1.64414
6,2,9,-1.59023
6,3,0,-0.774907
6,3,1,-0.749503
6,3,2,-0.724931
6,3,3,-0.701165
6,3,4,-0.678178
6,3,5,-0.655945
6,3,6,-0.63444
6,3,7,-0.613641
6,3,8,-0.593523
6,3,9,-0.574065
6,4,0,0.654776
6,4,1,0.633309
6,4,2,0.612547
6,4,3,0.592465
6,4,4,0.573042
6,4,5,0.554256
6,4,6,0.536085
6,4,7,0.51851
6,4,8,0.501511
6,4,9,0.48507
6,5,0,1.8685
6,5,1,1.80724
6,5,2,1.74799
6,5,3,1.69069
6,5,4,1.63526
6,5,5,1.58165
6,5,6,1.5298
6,5,7,1.47964
6,5,8,1.43114
6,5,9,1.38422
6,6,0,2.65079
6,6,1,2.56388
6,6,2,2.47983
6,6,3,2.39853
6,6,4,2.3199
6,6,5,2.24384
6,6,6,2.17028
6,6,7,2.09913
6,6,8,2.03031
6,6,9,1.96375
6,7,0,2.88161
6,7,1,2.78714
6,7,2,2.69577
6,7,3,2.60739
6,7,4,2.52191
6,7,5,2.43923
6,7,6,2.35926
6,7,7,2.28192
6,7,8,2.20711
6,7,9,2.13475
6,8,0,2.55291
6,8,1,2.46921
6,8,2,2.38826
6,8,3,2.30997
6,8,4,2.23424
6,8,5,2.16099
6,8,6,2.09014
6,8,7,2.02162
6,8,8,1.95534
6,8,9,1.89124
6,9,0,1.76289
6,9,1,1.70509
6,9,2,1.6492
6,9,3,1.59513
6,9,4,1.54283
6,9,5,1.49225
6,9,6,1.44333
6,9,7,1.39601
6,9,8,1.35025
6,9,9,1.30598
7,0,0,-3.95761
7,0,1,-3.82786
7,0,2,-3.70237
7,0,3,-3.58099
7,0,4,-3.46359
7,0,5,-3.35004
7,0,6,-3.24022
7,0,7,-3.13399
7,0,8,-3.03124
7,0,9,-2.93187
7,1,0,-3.45598
7,1,1,-3.34268
7,1,2,-3.2331
7,1,3,-3.1271
7,1,4,-3.02459
7,1,5,-2.92543
7,1,6,-2.82952
7,1,7,-2.73676
7,1,8,-2.64704
7,1,9,-2.56026
7,2,0,-2.33351
7,2,1,-2.25701
7,2,2,-2.18302
7,2,3,-2.11145
7,2,4,-2.04223
7,2,5,-1.97528
7,2,6,-1.91052
7,2,7,-1.84788
7,2,8,-1.7873
7,2,9,-1.72871
7,3,0,-0.842384
7,3,1,-0.814767
7,3,2,-0.788056
7,3,3,-0.762221
7,3,4,-0.737232
7,3,5,-0.713063
7,3,6,-0.689686
7,3,7,-0.667075
7,3,8,-0.645206
7,3,9,-0.624053
7,4,0,0.711792
7,4,1,0.688456
7,4,2,0.665886
7,4,3,0.644056
7,4,4,0.622941
7,4,5,0.602519
7,4,6,0.582766
7,4,7,0.56366
7,4,8,0.545181
7,4,9,0.527308
7,5,0,2.0312
7,5,1,1.96461
7,5,2,1.9002
7,5,3,1.83791
7,5,4,1.77765
7,5,5,1.71937
7,5,6,1.66301
7,5,7,1.60849
7,5,8,1.55575
7,5,9,1.50475
7,6,0,2.88161
7,6,1,2.78714
7,6,2,2.69577
7,6,3,2.60739
7,6,4,2.52191
7,6,5,2.43923
7,6,6,2.35926
7,6,7,2.28192
7,6,8,2.20711
7,6,9,2.13475
7,7,0,3.13253
7,7,1,3.02984
7,7,2,2.93051
7,7,3,2.83443
7,7,4,2.74151
7,7,5,2.65163
7,7,6,2.5647
7,7,7,2.48062
7,7,8,2.3993
7,7,9,2.32064
7,8,0,2.77521
7,8,1,2.68423
7,8,2,2.59623
7,8,3,2.51111
7,8,4,2.42879
7,8,5,2.34916
7,8,6,2.27215
7,8,7,2.19766
7,8,8,2.12561
7,8,9,2.05592
7,9,0,1.9164
7,9,1,1.85357
7,9,2,1.7928
7,9,3,1.73403
7,9,4,1.67718
7,9,5,1.6222
